,0,1,2,3
0,29.70999908,0.00428,15936.91489,37.36000061
1,28.10499954,0.00232,20909.48264,37.02999878
2,32.09500122,0.00425,18651.76392,35.34999847
3,43.43999863,0.0046,22089.13103,52.20000076
4,36.47499847,0.00313,14952.07589,46.47000122
5,34.34000015,0.0031,22474.19365,29.96999931
6,33.08499908,0.00284,18200.70429,40.68000031
7,42.25,0.00379,19029.02466,39.81999969
8,33.67499924,0.00324,20975.3083,35.56999969
9,42.02999878,0.0041,12195.12223,37.90999985
10,23.95000076,0.0016,35412.49938,20.63999939
11,54.20500183,0.00309,20653.72216,35.11000061
12,46.26499939,0.00211,15161.13809,32.25
13,21.56500053,0.00811,7871.763607,45.45000076
14,55.97000122,0.00328,6871.951559,40.43000031
15,90.55500031,0.00423,5494.089756,43.04000092
16,27.62999916,0.00762,2750.656089,54.54999924
17,89.33000183,0.00515,6033.009538,35.27000046
18,87.75499725,0.00642,5299.065429,45.91999817
19,55.93000031,0.00533,3885.553355,48.75
20,83.08999634,0.00409,6772.616071,36.29000092
21,52.41500092,0.00397,4760.705159,43.15999985
22,91.32499695,0.00895,1903.910757,50.47999954
23,56.01499939,0.00507,4773.175531,38.09999847
24,144.0249939,0.00323,8089.782974,46.79999924
25,28.21999931,0.00668,4317.365403,32.31999969
26,91.01999664,0.00451,8310.420763,31.38999939
27,92.18499756,0.00302,3596.026399,42.40000153
28,21.70000076,0.016690001,3437.986772,47.29000092
29,139.5399933,0.00346,4806.358086,33.16999817
30,29.32500076,0.00384,16536.4587,38.75999832
31,28.06999969,0.00142,20577.46493,31.42000008
32,43.72999954,0.00334,20835.32878,38.68000031
33,44.31999969,0.00583,16773.58528,42.65000153
34,38.29000092,0.00406,20081.28077,49.40999985
35,34.25,0.00315,15190.47525,29.30999947
36,33.16999817,0.00219,27392.69411,37.33000183
37,39.90000153,0.00339,17348.08246,39.93999863
38,32.75,0.00357,20134.45339,35.72000122
39,40.65499878,0.00493,10951.31918,33.86999893
40,28.22999954,0.00453,8649.006289,32.97000122
41,42.11999893,0.00298,20291.94659,36.47000122
42,48.06000137,0.00375,9770.666504,38.11000061
43,28.54999924,0.00331,12048.3389,46.29000092
44,54.77000046,0.00217,13470.0454,33.04000092
45,40.16500092,0.0048,13739.58215,39.27000046
46,27.29999924,0.00359,9289.69339,48.93000031
47,40.83000183,0.00386,16225.38932,32.52999878
48,50.77000046,0.00525,17409.5241,51.83000183
49,67.70999908,0.00254,13452.75539,44.58000183
50,28.69499969,0.00345,20055.07289,30.06999969
51,36.59500122,0.00337,14931.75116,39.81999969
52,46.22499847,0.00273,13131.86748,39.81999969
53,26.16500092,0.00409,17479.21643,30.67000008
54,53.54499817,0.00456,13712.7192,28.01000023
55,41.49499893,0.0044,11377.27279,34.02000046
56,32.05500031,0.00452,21453.54018,35.15000153
57,48.63999939,0.00088,16863.63663,27.36000061
58,23.20000076,0.00939,2472.843287,45.61000061
